time,value
1878.7083,6850
1878.7917,6885
1878.875,6795
1878.9583,6750
1879.0417,6640
1879.125,6765
1879.2083,6665
1879.2917,6700
1879.375,6605
1879.4583,6760
1879.5417,6865
1879.625,6775
1879.7083,6735
1879.7917,6710
1879.875,6775
1879.9583,6575
1880.0417,6615
1880.125,6630
1880.2083,6635
1880.2917,6635
1880.375,6580
1880.4583,6690
1880.5417,6680
1880.625,6670
1880.7083,6685
1880.7917,6825
1880.875,6925
1880.9583,7015
1881.0417,6685
1881.125,6680
1881.2083,6690
1881.2917,6595
1881.375,6555
1881.4583,6635
1881.5417,6650
1881.625,6810
1881.7083,6735
1881.7917,6725
1881.875,6700
1881.9583,6710
1882.0417,6590
1882.125,6610
1882.2083,6675
1882.2917,6560
1882.375,6560
1882.4583,6725
1882.5417,6705
1882.625,6850
1882.7083,6755
1882.7917,6815
1882.875,6975
1882.9583,6805
1883.0417,6825
1883.125,6610
1883.2083,6620
1883.2917,6530
1883.375,6640
1883.4583,6620
1883.5417,6785
1883.625,6705
1883.7083,6695
1883.7917,6800
1883.875,6870
1883.9583,6975
1884.0417,6865
1884.125,6615
1884.2083,6555
1884.2917,6545
1884.375,6645
1884.4583,6645
1884.5417,6645
1884.625,6645
1884.7083,6695
1884.7917,6815
1884.875,6655
1884.9583,6885
1885.0417,6586
1885.125,6704
1885.2083,6624
1885.2917,6574
1885.375,6705
1885.4583,6630
1885.5417,6598
1885.625,6666
1885.7083,6719
1885.7917,6912
1885.875,6630
1885.9583,6859
1886.0417,6786
1886.125,6517
1886.2083,6550
1886.2917,6565
1886.375,6569
1886.4583,6713
1886.5417,6731
1886.625,6685
1886.7083,6680
1886.7917,6653
1886.875,6759
1886.9583,6969
1887.0417,6577
1887.125,6504
1887.2083,6588
1887.2917,6570
1887.375,6628
1887.4583,6647
1887.5417,6635
1887.625,6714
1887.7083,6779
1887.7917,6896
1887.875,6695
1887.9583,6807
1888.0417,6581
1888.125,6514
1888.2083,6725
1888.2917,6703
1888.375,6664
1888.4583,6683
1888.5417,6855
1888.625,6804
1888.7083,6673
1888.7917,6831
1888.875,6738
1888.9583,6707
1889.0417,6586
