time,value
1848.0417,6399.258202340014
1848.125,6572.7986799725295
1848.2083,6631.138662594743
1848.2917,6663.655643689986
1848.375,6654.4184911689745
1848.4583,6673.088272836328
1848.5417,6687.291156817304
1848.625,6698.60322460477
1848.7083,6692.516501619024
1848.7917,6700.498466740412
1848.875,6721.792356889456
1848.9583,6689.383380872045
1849.0417,6699.86817268165
1849.125,6687.803529246875
1849.2083,6663.665209279678
1849.2917,6644.651342792359
1849.375,6649.881729852176
1849.4583,6664.442765606559
1849.5417,6663.794838463401
1849.625,6658.944975744019
1849.7083,6646.199478928643
1849.7917,6660.1537867115085
1849.875,6668.54076451119
1849.9583,6680.130529002567
1850.0417,6688.019241869906
1850.125,6753.290170438461
1850.2083,6709.169912921439
1850.2917,6685.363372749957
1850.375,6671.06809735971
1850.4583,6674.048358479353
1850.5417,6684.171754028754
1850.625,6692.109557338937
1850.7083,6689.588444651221
1850.7917,6713.162998707714
1850.875,6724.7986772796
1850.9583,6713.858859831335
1851.0417,6678.1161148198225
1851.125,6671.666912865742
1851.2083,6682.717803236315
1851.2917,6696.662869820507
1851.375,6698.106512587388
1851.4583,6704.465097574542
1851.5417,6710.623094152148
1851.625,6728.264751036811
1851.7083,6726.5056895602775
1851.7917,6738.436261668849
1851.875,6732.905431903238
1851.9583,6707.839139101343
1852.0417,6725.08752346245
1852.125,6714.243729121976
1852.2083,6648.7413332022425
1852.2917,6624.01693723335
1852.375,6642.048892726964
1852.4583,6666.47418299319
1852.5417,6670.827291881862
1852.625,6707.3656352262315
1852.7083,6733.5410917804375
1852.7917,6766.669457752307
1852.875,6766.673870381292
1852.9583,6759.8059844032605
1853.0417,6735.990342576453
1853.125,6684.421079215816
1853.2083,6657.009720561109
1853.2917,6686.602007116818
1853.375,6690.545046341333
1853.4583,6715.317477943847
1853.5417,6717.708963775304
1853.625,6700.4913110225
1853.7083,6692.832899903134
1853.7917,6646.861826247442
1853.875,6586.588937434541
1853.9583,6571.911900159592
1854.0417,6610.45182544449
1854.125,6664.161185271073
1854.2083,6633.180989574308
1854.2917,6627.768664967908
1854.375,6640.269589724474
1854.4583,6658.496610627718
1854.5417,6678.034860516356
1854.625,6700.586183098629
1854.7083,6713.982324342886
1854.7917,6734.496837215726
1854.875,6766.072664044465
1854.9583,6807.425739889876
1855.0417,6731.563468193991
1855.125,6680.662497070853
1855.2083,6682.509962349283
1855.2917,6677.7986635086945
1855.375,6674.136863483867
1855.4583,6672.02638726549
1855.5417,6685.67580627167
1855.625,6684.578652629727
1855.7083,6673.94849372393
1855.7917,6687.299019964608
1855.875,6639.636678692014
1855.9583,6627.463091928926
1856.0417,6631.2131646391845
1856.125,6607.293174089137
1856.2083,6574.858123822517
1856.2917,6609.869869989341
1856.375,6657.957817402168
1856.4583,6690.279946340807
1856.5417,6702.082055157251
1856.625,6705.289934657662
1856.7083,6702.981539654698
1856.7917,6684.916222022246
1856.875,6715.569487648136
1856.9583,6699.561311142076
1857.0417,6647.763626314296
1857.125,6606.377301354376
1857.2083,6595.507464402347
1857.2917,6592.327926601199
1857.375,6584.3963612755
1857.4583,6600.613431428113
1857.5417,6617.060538366268
1857.625,6600.530347191773
1857.7083,6604.824036214194
1857.7917,6599.676738816938
1857.875,6575.658218476034
1857.9583,6574.386530063643
1858.0417,6561.634790425117
1858.125,6547.621097196011
1858.2083,6577.715315415408
1858.2917,6578.827776915584
1858.375,6587.000654759104
1858.4583,6603.423778137288
1858.5417,6632.380818316955
1858.625,6635.980665365479
1858.7083,6630.573261926058
1858.7917,6636.630831708909
1858.875,6626.424963382601
1858.9583,6644.878456324769
1859.0417,6676.411370388725
1859.125,6712.223548348454
1859.2083,6730.119556938853
1859.2917,6706.810399381321
1859.375,6678.555141591785
1859.4583,6696.63306189917
1859.5417,6685.323380418742
1859.625,6694.759966595343
1859.7083,6705.981540245198
1859.7917,6708.196191487001
1859.875,6715.3594145364295
1859.9583,6715.157418037019
1860.0417,6750.639453301492
1860.125,6761.986283554024
1860.2083,6764.702970139317
1860.2917,6759.808270526852
1860.375,6747.341672361956
1860.4583,6745.128201332793
1860.5417,6748.587805803428
1860.625,6764.6428374503475
1860.7083,6758.063933141148
1860.7917,6752.6340037598775
1860.875,6697.566825788562
1860.9583,6677.212207487956
1861.0417,6678.312166995334
1861.125,6708.779189125962
1861.2083,6735.038407178826
1861.2917,6697.56202792375
1861.375,6687.29640914008
1861.4583,6698.5169437839395
1861.5417,6724.181332346777
1861.625,6740.1637205396555
1861.7083,6733.707503934905
1861.7917,6713.641601305744
1861.875,6747.441299166237
1861.9583,6714.656484214068
1862.0417,6706.117850842175
1862.125,6696.123411536098
1862.2083,6680.925251556057
1862.2917,6677.324060909538
1862.375,6683.969393104096
1862.4583,6714.603247712689
1862.5417,6728.213320213541
1862.625,6713.028387794471
1862.7083,6704.604100798328
1862.7917,6737.281351601557
1862.875,6735.18910925537
1862.9583,6772.542782879946
1863.0417,6771.4750000845015
1863.125,6733.460342320745
1863.2083,6696.7433129272695
1863.2917,6681.305025881519
1863.375,6666.356123541338
1863.4583,6678.165767529159
1863.5417,6691.162574340415
1863.625,6702.720346529326
1863.7083,6717.173248666733
1863.7917,6708.066119054167
1863.875,6713.233784086912
1863.9583,6723.36411815225
1864.0417,6663.505996524682
1864.125,6670.5876235938695
1864.2083,6677.8896095107575
1864.2917,6661.90019899418
1864.375,6674.74836310042
1864.4583,6698.752163369318
1864.5417,6707.28802490171
1864.625,6699.806895772243
1864.7083,6679.128352557367
1864.7917,6648.747941551505
1864.875,6627.273008627459
1864.9583,6612.27545393871
1865.0417,6665.631194476976
1865.125,6670.4736329441075
1865.2083,6647.36868376528
1865.2917,6638.276990998433
1865.375,6647.289169855998
1865.4583,6647.784787409562
1865.5417,6664.324700241712
1865.625,6673.111375664504
1865.7083,6666.189816961484
1865.7917,6676.589439619022
1865.875,6666.960102133694
1865.9583,6669.315802948501
1866.0417,6727.664929868996
1866.125,6766.388405490365
1866.2083,6723.132533170619
1866.2917,6711.0513607898565
1866.375,6718.11444870529
1866.4583,6737.595454885207
1866.5417,6776.799756647076
1866.625,6803.553967151598
1866.7083,6811.01591533797
1866.7917,6801.9838317760805
1866.875,6879.945685130222
1866.9583,6907.262170408198
1867.0417,6911.051969589246
1867.125,6917.111257366262
1867.2083,6867.712266655626
1867.2917,6871.83037594085
1867.375,6829.759876203892
1867.4583,6808.224330043395
1867.5417,6808.52290764917
1867.625,6782.017575623383
1867.7083,6784.393834456366
1867.7917,6794.042781210485
1867.875,6805.207770918537
1867.9583,6814.57567472104
1868.0417,6797.534456543932
1868.125,6817.068659570799
1868.2083,6792.378609936717
1868.2917,6751.705539028904
1868.375,6728.547045256931
1868.4583,6719.843693456305
1868.5417,6718.581726701795
1868.625,6728.037907460456
1868.7083,6731.13330351679
1868.7917,6760.90368839192
1868.875,6770.38795641402
1868.9583,6795.017708091377
1869.0417,6778.4041003030015
1869.125,6781.817030128251
1869.2083,6727.786346251594
1869.2917,6697.3005422192855
1869.375,6703.302441519209
1869.4583,6716.167756388836
1869.5417,6727.595979904277
1869.625,6769.9976958838215
1869.7083,6821.773547819799
1869.7917,6851.714480188201
1869.875,6867.298342627179
1869.9583,6816.24408355135
1870.0417,6735.656355807276
1870.125,6659.06476149093
1870.2083,6666.497452733684
1870.2917,6653.866688751569
1870.375,6652.060933051293
1870.4583,6658.528027245252
1870.5417,6675.6931316561795
1870.625,6721.243160438175
1870.7083,6741.009374384486
1870.7917,6774.27910372498
1870.875,6782.903496962342
1870.9583,6749.4917015605815
1871.0417,6708.389294244039
1871.125,6707.932872269011
1871.2083,6704.826277394862
1871.2917,6729.779536543787
1871.375,6754.650121896631
