dataset,RMSE,MAE,R2,MSE
train,3.3018135578331673,2.597874164581299,0.9948651194572449,10.901972770690918
val,3.411649291928067,2.6192140579223633,0.994598925113678,11.639350891113281
test,11.157455251006954,9.511420249938965,0.5463048219680786,124.48880767822266
