dataset,RMSE,MAE,R2,MSE
train,3.3147345149778067,2.6121842861175537,0.9948248863220215,10.987464904785156
val,3.389273519176782,2.617648124694824,0.9946695566177368,11.487174987792969
test,7.256475779251474,6.034595489501953,0.808095395565033,52.65644073486328
