dataset,RMSE,MAE,R2,MSE
train,3.3206601667704976,2.6149349212646484,0.9948063492774963,11.02678394317627
val,3.3936711704379263,2.606811761856079,0.9946556687355042,11.517004013061523
test,18.534671769880024,15.421077728271484,-0.25199806690216064,343.5340576171875
