dataset,RMSE,MAE,R2,MSE
train,3.4498483983883688,2.7103219032287598,0.9943943619728088,11.901453971862793
val,3.416285718444285,2.6398327350616455,0.9945842027664185,11.671008110046387
test,9.918476057205728,8.36874771118164,0.6414713859558105,98.37616729736328
