dataset,RMSE,MAE,R2,MSE
train,3.274857606777053,2.5763072967529297,0.9949486255645752,10.724692344665527
val,3.3901205083082298,2.6084892749786377,0.9946668744087219,11.49291706085205
test,12.009762289853578,10.515247344970703,0.4743427038192749,144.23439025878906
