,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
LSTM_20250305_113126,LSTM,21.363992991320774,16.649211883544922,456.4201965332031,0.9240922927856445,26.22153753618805,21.069808959960938,687.5690307617188,0.8998487591743469,23.47913359465099,17.72346305847168,551.2697143554688,0.8433569669723511,88.49131274223328,0.001,32,2,0.1,100,250,0
LSTM_20250305_113233,LSTM,23.605736038636483,18.2044734954834,557.2307739257812,0.9073264002799988,24.77709094788659,20.38799285888672,613.9042358398438,0.9105787873268127,23.40244774691047,17.496803283691406,547.674560546875,0.8443785309791565,64.56020998954773,0.001,32,2,0.1,100,250,0
LSTM_20250305_113400,LSTM,22.812216393785043,17.507274627685547,520.397216796875,0.9134522080421448,24.787189940698198,19.980953216552734,614.40478515625,0.9105058312416077,50.032950568381686,42.57967758178711,2503.296142578125,0.2886894941329956,83.63027882575989,0.001,32,2,0.1,100,250,0
LSTM_20250305_113522,LSTM,23.294116096700524,18.02119255065918,542.6158447265625,0.9097570180892944,24.970932808999397,20.113386154174805,623.5474853515625,0.9091741442680359,24.195745122464196,18.481037139892578,585.43408203125,0.8336491584777832,79.13395237922668,0.001,32,2,0.1,100,250,0
LSTM_20250305_113637,LSTM,22.62603116715243,17.501781463623047,511.9372863769531,0.9148591756820679,25.123948108422123,20.345876693725586,631.2127685546875,0.9080576300621033,26.397669880079498,20.132572174072266,696.8369750976562,0.8019940853118896,72.40730595588684,0.001,32,2,0.1,100,250,0
LSTM_20250305_113742,LSTM,23.714699300025394,18.37100601196289,562.386962890625,0.9064688682556152,24.640975494891507,20.28304100036621,607.1776733398438,0.9115585684776306,23.565862036336057,17.737184524536133,555.349853515625,0.842197597026825,61.67911958694458,0.001,32,2,0.1,100,250,0
LSTM_20250305_113902,LSTM,23.064677975579617,17.886877059936523,531.9793701171875,0.9115259647369385,24.498738159070943,19.959259033203125,600.1881713867188,0.9125766754150391,26.903929287983427,21.080154418945312,723.8214111328125,0.7943264245986938,76.87199068069458,0.001,32,2,0.1,100,250,0
LSTM_20250305_114008,LSTM,23.35866298036916,18.043399810791016,545.6271362304688,0.9092562198638916,24.992693023958896,20.164306640625,624.6347045898438,0.9090157747268677,25.962069500222338,19.918298721313477,674.029052734375,0.8084749579429626,62.85041356086731,0.001,32,2,0.1,100,250,0
LSTM_20250305_114116,LSTM,22.669468126893715,17.468900680541992,513.90478515625,0.9145320057868958,24.98539246091166,19.894996643066406,624.2698364257812,0.9090689420700073,25.6138754911431,19.7980899810791,656.0706176757812,0.8135777711868286,65.36977553367615,0.001,32,2,0.1,100,250,0
LSTM_20250305_114241,LSTM,22.958903873875247,17.846952438354492,527.1112670898438,0.9123356342315674,24.711264768224886,20.179513931274414,610.6466064453125,0.9110532402992249,23.74774351945096,18.17626953125,563.955322265625,0.8397523164749146,81.47244071960449,0.001,32,2,0.1,100,250,0
LSTM_20250305_114358,LSTM,21.513782430634002,16.757631301879883,462.84283447265625,0.9230241775512695,25.83504331118152,20.33609962463379,667.449462890625,0.9027793407440186,43.146790237658465,36.93678665161133,1861.6455078125,0.47101420164108276,74.62805724143982,0.001,32,2,0.1,100,250,0
LSTM_20250305_114505,LSTM,23.57039406888438,18.173625946044922,555.5634765625,0.9076036810874939,24.7606104446123,20.26307487487793,613.0878295898438,0.9106976985931396,24.428818040971738,18.452381134033203,596.7671508789062,0.8304288387298584,64.31353950500488,0.001,32,2,0.1,100,250,0
LSTM_20250305_114629,LSTM,23.300446940707356,17.937841415405273,542.9108276367188,0.9097079634666443,24.72492095656918,20.249818801879883,611.3217163085938,0.9109549522399902,24.61042656483477,18.777605056762695,605.673095703125,0.8278982639312744,80.39374923706055,0.001,32,2,0.1,100,250,0
LSTM_20250305_195903,LSTM,19.79020596651954,15.352368354797363,391.6522521972656,0.930962324142456,22.26371085522182,18.408308029174805,495.6728210449219,0.9228019714355469,30.6979013129486,24.939836502075195,942.3611450195312,0.7095065712928772,76.37266683578491,0.001,32,2,0.1,100,250,0
LSTM_20250305_200125,LSTM,19.0636918492675,14.691987037658691,363.4243469238281,0.9348251819610596,19.97502942518757,16.39860725402832,399.0018005371094,0.9365990161895752,21.891938196692692,16.945051193237305,479.2569580078125,0.8485586643218994,76.0083577632904,0.001,32,2,0.1,100,250,0
Transformer_20250305_211250,Transformer,25.73380933463007,20.50990104675293,662.2289428710938,0.8832669854164124,26.769141078161248,22.492706298828125,716.5869140625,0.8883959650993347,27.29193640034486,20.79966163635254,744.8497924804688,0.7703916430473328,3762.181249856949,0.001,32,2,0.1,100,250,0
Transformer_20250305_213953,Transformer,26.25036272070826,20.896766662597656,689.08154296875,0.8785336017608643,26.245202779656942,22.127643585205078,688.8106689453125,0.892721951007843,27.08417416563361,21.416378021240234,733.552490234375,0.7738741636276245,1619.2132534980774,0.001,32,2,0.1,100,250,0
Transformer_20250305_220705,Transformer,26.738036715919794,21.145719528198242,714.922607421875,0.8739784955978394,26.20638117067101,22.00027847290039,686.7744140625,0.8930391073226929,26.19641806308522,20.230857849121094,686.2523193359375,0.7884550094604492,1628.7087824344635,0.001,32,2,0.1,100,250,0
Transformer_20250305_223357,Transformer,27.078713297850538,21.671985626220703,733.2567138671875,0.8707467317581177,26.86999067595263,22.763423919677734,721.9963989257812,0.8875534534454346,28.015033500797053,22.137939453125,784.8421020507812,0.758063554763794,1607.8297538757324,0.001,32,2,0.1,100,250,0
Transformer_20250305_230119,Transformer,26.712760887603537,21.19072151184082,713.5715942382812,0.8742166757583618,26.504730378215037,22.368606567382812,702.500732421875,0.8905897736549377,26.639789897101643,20.666006088256836,709.6784057617188,0.7812336683273315,1638.8405261039734,0.001,32,2,0.1,100,250,0
Transformer_20250305_234147,Transformer,26.14602034503172,20.847713470458984,683.6143798828125,0.8794972896575928,26.718030417941787,22.347881317138672,713.8531494140625,0.8888217210769653,27.097758453119212,20.571435928344727,734.2885131835938,0.7736473083496094,2423.926313638687,0.001,32,2,0.1,100,250,0
