timestamp,actual,predicted
1980.1834,1360.4998,1360.4913
1980.1862,1360.8202,1360.8495
1980.1889,1361.7417,1361.7743
1980.1916,1360.4149,1360.4181
1980.1944,1361.6008,1361.589
1980.1971,1360.7378,1360.7344
1980.1999,1361.3569,1361.3514
1980.2026,1360.2346,1360.289
1980.2053,1361.5701,1361.5579
1980.2081,1361.2552,1361.2524
1980.2108,1360.761,1360.7598
1980.2136,1360.7698,1360.7709
1980.2163,1360.3541,1360.3611
1980.219,1362.1824,1362.296
1980.2218,1360.4117,1360.414
1980.2245,1360.3754,1360.342
1980.2272,1360.9198,1360.9153
1980.23,1360.5565,1360.5566
1980.2327,1361.1046,1361.2632
1980.2355,1360.8021,1360.8547
1980.2382,1360.6282,1360.6221
1980.2409,1360.3002,1360.2363
1980.2437,1360.7472,1360.7495
1980.2464,1361.2424,1361.2413
1980.2491,1360.8706,1360.8129
1980.2519,1360.6699,1360.6812
1980.2546,1360.4064,1360.4008
1980.2574,1360.9052,1360.917
1980.2601,1360.7429,1360.7372
1980.2628,1360.6661,1360.665
1980.2656,1360.961,1360.9396
1980.2683,1361.036,1361.0045
1980.271,1360.6262,1360.6283
1980.2738,1361.3655,1361.3422
1980.2765,1360.6471,1360.6428
1980.2793,1360.5789,1360.582
1980.282,1360.9022,1360.8997
1980.2847,1360.4473,1360.4598
1980.2875,1360.8304,1360.7749
1980.2902,1360.931,1360.9735
1980.293,1361.0345,1361.0305
1980.2957,1360.484,1360.4661
1980.2984,1361.7915,1361.7793
1980.3012,1360.5776,1360.5779
1980.3039,1362.1014,1362.0651
1980.3066,1361.2789,1361.2703
1980.3094,1360.5925,1360.5857
1980.3121,1361.1393,1361.1584
1980.3149,1360.4788,1360.4717
1980.3176,1360.4736,1360.4796
1980.3203,1360.651,1360.6511
1980.3231,1361.5713,1361.5648
1980.3258,1360.5703,1360.5701
1980.3285,1360.97,1360.982
1980.3313,1361.0198,1361.0037
1980.334,1360.4877,1360.4808
1980.3368,1360.8351,1360.8539
1980.3395,1360.8115,1360.7651
1980.3422,1360.5336,1360.5425
1980.345,1360.5986,1360.7207
1980.3477,1361.0797,1361.0863
1980.3504,1361.6389,1361.675
1980.3532,1360.4441,1360.4078
1980.3559,1360.6582,1360.6575
1980.3587,1360.8181,1360.823
1980.3614,1361.158,1361.1655
1980.3641,1361.2003,1361.2013
1980.3669,1360.9982,1360.98
1980.3696,1360.9897,1360.9941
1980.3723,1361.4249,1361.4149
1980.3751,1360.9636,1360.9613
1980.3778,1360.8955,1360.8916
1980.3806,1360.6033,1360.5961
1980.3833,1361.2804,1361.3066
1980.386,1360.543,1360.5479
1980.3888,1361.4717,1361.4756
1980.3915,1361.2327,1361.2328
1980.3943,1361.55,1361.5675
1980.397,1361.1603,1361.182
1980.3997,1361.339,1361.2964
1980.4025,1361.8685,1361.8092
1980.4052,1360.5618,1360.5676
1980.4079,1362.1735,1362.1776
1980.4107,1360.5814,1360.6029
1980.4134,1360.5956,1360.5948
1980.4162,1361.3105,1361.291
1980.4189,1360.0192,1360.042
1980.4216,1362.1401,1362.116
1980.4244,1361.03,1361.044
1980.4271,1361.4935,1361.4789
1980.4298,1360.3544,1360.3586
1980.4326,1360.6288,1360.6348
1980.4353,1360.837,1360.8339
1980.4381,1361.6483,1361.5516
1980.4408,1361.8125,1361.7963
1980.4435,1360.3639,1360.3611
1980.4463,1360.4985,1360.4623
1980.449,1360.8749,1360.8984
1980.4517,1360.157,1360.2045
1980.4545,1361.2738,1361.271
1980.4572,1360.4818,1360.4877
1980.46,1360.3496,1360.1359
1980.4627,1361.9481,1361.9458
1980.4654,1361.3975,1361.4294
1980.4682,1361.1118,1361.1222
1980.4709,1360.4006,1360.4044
1980.4736,1361.3563,1361.3617
1980.4764,1360.6372,1360.6652
1980.4791,1360.6493,1360.6519
1980.4819,1360.7225,1360.7361
1980.4846,1360.3739,1360.4254
1980.4873,1360.7804,1360.8173
1980.4901,1361.0054,1361.009
1980.4928,1360.818,1360.8159
1980.4956,1360.4221,1360.4282
1980.4983,1360.3557,1360.3511
1980.501,1360.8555,1360.8679
1980.5038,1361.2229,1361.2554
1980.5065,1361.3097,1361.3025
1980.5092,1360.6624,1360.6514
1980.512,1360.6138,1360.6177
1980.5147,1361.1855,1361.1506
1980.5175,1360.8894,1360.9167
1980.5202,1360.8536,1360.8809
1980.5229,1360.4578,1360.4397
1980.5257,1361.2485,1361.2567
1980.5284,1360.6395,1360.6577
1980.5311,1361.117,1361.122
1980.5339,1361.8197,1361.8865
1980.5366,1360.8661,1360.8738
1980.5394,1361.7223,1361.7218
1980.5421,1360.3545,1360.3627
1980.5448,1360.976,1360.985
1980.5476,1361.4741,1361.4917
1980.5503,1361.7567,1361.7882
1980.553,1360.7827,1360.7806
1980.5558,1361.4473,1361.4569
1980.5585,1361.0559,1361.0331
1980.5613,1360.6223,1360.7267
1980.564,1361.0022,1361.0056
1980.5667,1361.1913,1361.2213
1980.5695,1360.7494,1360.754
1980.5722,1360.4297,1360.4484
1980.5749,1361.9843,1361.9373
1980.5777,1361.3818,1361.3632
1980.5804,1361.234,1361.224
1980.5832,1360.6342,1360.654
1980.5859,1360.9193,1360.8264
1980.5886,1361.5161,1361.5161
1980.5914,1361.9441,1361.9728
1980.5941,1361.6998,1361.6476
1980.5969,1360.6049,1360.6096
1980.5996,1362.1052,1362.1274
