Time,Actual,Predicted
20,6718.031,6721.13
21,6740.104,6732.225
22,6704.5615,6715.452
23,6917.5337,6895.472
24,6790.9365,6789.1714
25,6853.572,6849.0664
26,6809.6323,6814.917
27,6859.9385,6861.114
28,6756.3345,6743.3564
29,6606.5947,6627.9863
30,6855.3306,6880.6997
31,6834.2656,6834.5566
32,6736.8276,6750.394
33,6664.716,6676.15
34,6759.655,6772.697
35,6793.372,6766.207
36,6902.551,6890.5674
37,6750.487,6739.1753
38,6700.2896,6703.92
39,6780.347,6778.7065
40,6879.308,6875.8926
41,6737.218,6747.3945
42,6735.148,6748.9053
43,6770.948,6807.5625
44,6749.0396,6755.9893
45,6691.715,6710.006
46,6811.216,6831.6514
47,6876.484,6847.3154
48,6958.522,6950.3545
49,6860.098,6832.974
50,6802.7456,6792.8228
51,6747.025,6763.066
52,6751.5537,6730.7046
53,6702.226,6705.2
54,6840.8184,6840.0117
55,6765.956,6739.3125
56,6813.9155,6817.544
57,6797.7007,6773.6235
58,6849.816,6887.274
59,6750.0127,6796.5894
60,6817.834,6808.591
61,6798.6694,6877.2163
62,6904.5776,6878.9854
63,6763.5615,6780.1675
64,6865.308,6825.203
65,6638.568,6649.481
66,6729.102,6748.3584
67,6701.55,6695.5474
68,6733.7637,6706.1855
69,6734.3794,6726.3203
70,6628.9346,6651.1875
71,6920.644,6905.4614
72,6677.315,6720.212
73,6852.595,6832.097
74,6837.8364,6814.3037
75,6891.0474,6898.602
76,6733.515,6715.9204
77,6755.71,6726.1543
78,6749.8896,6742.0693
79,6725.038,6719.1978
80,6875.211,6853.452
81,6790.7046,6763.258
82,6736.817,6750.988
83,6823.6445,6800.7207
84,6892.849,6876.891
85,6816.308,6768.0786
86,6831.3237,6818.0522
87,6830.6543,6856.041
88,6784.8535,6798.0923
89,6789.9277,6808.038
90,6786.0737,6799.0107
91,6744.0317,6719.3174
92,6713.285,6720.644
93,6787.745,6836.596
94,6860.9985,6873.257
95,6797.46,6783.206
96,6761.9473,6734.8955
97,6747.5786,6707.132
98,6720.7065,6712.7637
99,6712.7266,6702.9214
100,6835.974,6822.0386
101,6806.2305,6865.7607
102,6731.3613,6744.118
103,6676.4907,6716.874
104,6794.084,6791.985
105,6713.6973,6696.727
106,6757.2207,6804.8677
107,6744.418,6734.0415
108,6914.896,6882.111
109,6951.0396,6926.911
110,6678.8086,6715.701
111,6703.001,6702.9277
112,6966.831,6946.0967
113,6888.177,6868.0283
114,6697.211,6730.3237
115,6890.1665,6866.977
116,6731.3037,6743.908
117,6777.8267,6767.0483
118,6771.7476,6767.15
119,6762.7812,6761.3984
120,6716.716,6691.556
121,6753.34,6764.1655
122,6926.847,6916.9336
123,6707.0728,6733.1123
124,6960.1196,6944.4062
125,6905.161,6861.321
