Time,Actual,Predicted
20,6718.031,6716.1626
21,6740.104,6732.45
22,6704.5615,6674.251
23,6917.5337,6902.4414
24,6790.9365,6774.095
25,6853.572,6813.012
26,6809.6323,6835.422
27,6859.9385,6848.7456
28,6756.3345,6759.655
29,6606.5947,6624.1025
30,6855.3306,6902.2236
31,6834.2656,6842.365
32,6736.8276,6738.5283
33,6664.716,6653.5273
34,6759.655,6783.8364
35,6793.372,6786.8667
36,6902.551,6893.675
37,6750.487,6730.35
38,6700.2896,6714.755
39,6780.347,6784.769
40,6879.308,6882.323
41,6737.218,6732.04
42,6735.148,6754.5586
43,6770.948,6801.979
44,6749.0396,6750.657
45,6691.715,6720.801
46,6811.216,6829.9536
47,6876.484,6822.796
48,6958.522,6938.763
49,6860.098,6851.3013
50,6802.7456,6771.331
51,6747.025,6771.1494
52,6751.5537,6723.356
53,6702.226,6684.366
54,6840.8184,6829.1357
55,6765.956,6730.3823
56,6813.9155,6827.301
57,6797.7007,6782.1704
58,6849.816,6876.2812
59,6750.0127,6810.7676
60,6817.834,6818.3667
61,6798.6694,6882.0737
62,6904.5776,6879.0493
63,6763.5615,6802.5493
64,6865.308,6836.314
65,6638.568,6625.851
66,6729.102,6762.9893
67,6701.55,6689.6426
68,6733.7637,6707.4453
69,6734.3794,6724.966
70,6628.9346,6698.3384
71,6920.644,6905.7725
72,6677.315,6727.9736
73,6852.595,6846.4497
74,6837.8364,6807.697
75,6891.0474,6889.4
76,6733.515,6711.225
77,6755.71,6755.018
78,6749.8896,6778.3877
79,6725.038,6721.964
80,6875.211,6861.5938
81,6790.7046,6765.926
82,6736.817,6747.5776
83,6823.6445,6816.943
84,6892.849,6878.2876
85,6816.308,6759.3027
86,6831.3237,6814.544
87,6830.6543,6861.586
88,6784.8535,6812.939
89,6789.9277,6798.6436
90,6786.0737,6800.726
91,6744.0317,6712.893
92,6713.285,6724.695
93,6787.745,6842.342
94,6860.9985,6874.53
95,6797.46,6771.1934
96,6761.9473,6742.21
97,6747.5786,6724.2173
98,6720.7065,6701.1885
99,6712.7266,6718.2095
100,6835.974,6834.5737
101,6806.2305,6852.506
102,6731.3613,6736.091
103,6676.4907,6724.5957
104,6794.084,6810.132
105,6713.6973,6663.546
106,6757.2207,6806.937
107,6744.418,6728.7573
108,6914.896,6909.663
109,6951.0396,6910.6055
110,6678.8086,6724.0083
111,6703.001,6719.9624
112,6966.831,6927.735
113,6888.177,6855.727
114,6697.211,6723.5454
115,6890.1665,6859.835
116,6731.3037,6764.0737
117,6777.8267,6770.6006
118,6771.7476,6753.6924
119,6762.7812,6773.33
120,6716.716,6702.835
121,6753.34,6750.459
122,6926.847,6907.261
123,6707.0728,6727.3506
124,6960.1196,6943.811
125,6905.161,6876.5117
126,6710.0093,6705.388
127,6731.956,6754.8555
128,6835.2427,6843.858
129,6914.8213,6912.137
130,6800.89,6807.546
131,6717.957,6693.9185
132,6781.935,6767.8438
133,6830.691,6817.5083
134,6806.1025,6800.9844
135,6765.162,6793.6733
136,6780.805,6755.0317
137,6632.485,6696.594
138,6699.101,6763.194
139,6739.314,6711.1904
140,6895.208,6881.4478
141,6839.951,6895.2207
142,6737.8506,6719.976
143,6699.992,6726.77
144,6709.704,6767.177
145,6782.671,6755.743
146,6827.342,6781.012
147,6718.5454,6745.5854
148,6748.6553,6788.7373
149,6745.3066,6737.1265
150,6957.4966,6949.082
151,6724.4517,6773.6396
152,6799.7603,6856.8853
153,6910.306,6882.9326
154,6753.433,6740.235
155,6795.279,6816.609
156,6622.7964,6628.949
157,6898.221,6951.437
158,6893.576,6850.9165
159,6754.6357,6769.2354
160,6842.924,6790.476
161,6750.8696,6751.162
162,6737.3726,6747.678
163,6823.146,6845.734
164,6687.086,6716.5654
165,6721.3765,6763.8213
166,6811.363,6848.6123
167,6799.9155,6795.2637
168,6719.1416,6687.3706
169,6711.8286,6733.967
170,6719.647,6700.112
171,6667.126,6710.717
172,6713.0474,6698.928
173,6865.4043,6858.4863
174,6856.651,6831.216
175,6738.1934,6740.081
176,6817.4297,6827.425
177,6704.2183,6685.9614
178,6808.3643,6826.7607
179,6832.209,6877.6377
180,6834.4297,6821.7085
181,6696.474,6715.156
182,6814.2183,6851.2134
183,6766.7456,6778.3335
184,6706.2124,6703.5044
185,6730.8315,6740.7134
186,6698.423,6722.714
187,6694.8276,6673.4604
188,6846.424,6879.478
189,6766.2886,6760.2495
190,6752.3315,6772.726
191,6840.264,6893.2456
192,6863.3506,6895.2886
193,6726.984,6736.43
194,6721.055,6758.116
195,6823.894,6834.9854
196,6922.483,6932.5073
197,6901.1035,6865.71
198,6853.1113,6841.402
199,6688.24,6698.105
200,6713.897,6736.362
201,6790.755,6766.907
202,6760.417,6755.0503
203,6743.764,6727.0234
204,6710.7886,6666.558
205,6674.4854,6683.42
206,6737.247,6738.392
207,6874.882,6882.1367
208,6958.641,6964.9287
209,6765.9766,6748.1304
210,6802.7256,6834.56
211,6783.664,6771.877
212,6815.637,6785.5264
213,6797.3228,6796.1353
214,6681.294,6705.431
215,6828.304,6823.775
216,6857.0894,6819.978
217,6845.447,6803.6606
218,6804.8975,6770.921
219,6797.1816,6764.4194
220,6768.079,6759.598
221,6816.4175,6809.855
222,6877.825,6841.816
223,6743.4146,6715.9966
224,6727.2734,6687.333
225,6932.9463,6923.6963
226,6787.6685,6791.4346
227,6899.223,6927.149
228,6740.38,6715.695
229,6751.0166,6777.6763
230,6840.741,6816.4707
231,6892.099,6869.9277
232,6824.7246,6820.7275
233,6731.145,6742.018
234,6927.982,6925.2075
235,6798.217,6818.0767
236,6772.0776,6743.3794
237,6661.3745,6651.4614
238,6752.2676,6766.0884
239,6790.0806,6786.2275
240,6833.229,6864.1323
241,6747.5366,6748.9897
242,6692.248,6713.509
243,6979.659,6949.6274
244,6732.5605,6742.0293
245,6850.175,6839.0283
246,6737.68,6721.454
247,6730.1484,6725.7534
248,6815.118,6835.4463
249,6685.5396,6681.2236
250,6837.562,6844.6646
251,6988.946,6937.3735
252,6793.4863,6746.951
253,6840.941,6820.8213
254,6959.4927,6886.8267
255,6775.64,6814.842
256,6722.355,6757.7534
257,6759.4946,6730.1895
258,6888.496,6958.4443
259,6707.868,6708.7246
260,6826.283,6810.274
261,6886.248,6925.239
262,6738.742,6738.728
263,6747.9473,6742.2466
264,6744.254,6730.936
265,6743.8867,6759.1978
266,6664.7305,6699.7925
267,6683.198,6686.6167
268,6735.142,6751.794
269,6842.828,6810.249
