Time,Actual,Predicted
20,6718.031,6727.261
21,6740.104,6732.9478
22,6704.5615,6710.727
23,6917.5337,6895.4194
24,6790.9365,6771.7554
25,6853.572,6845.9067
26,6809.6323,6831.6284
27,6859.9385,6846.3325
28,6756.3345,6754.735
29,6606.5947,6640.9893
30,6855.3306,6864.5176
31,6834.2656,6838.7896
32,6736.8276,6767.2324
33,6664.716,6645.4204
34,6759.655,6772.357
35,6793.372,6781.581
36,6902.551,6865.8643
37,6750.487,6730.461
38,6700.2896,6734.1294
39,6780.347,6773.5825
40,6879.308,6896.325
41,6737.218,6734.245
42,6735.148,6749.3076
43,6770.948,6793.6978
44,6749.0396,6772.1606
45,6691.715,6727.212
46,6811.216,6827.682
47,6876.484,6830.7256
48,6958.522,6929.147
49,6860.098,6841.195
50,6802.7456,6774.9395
51,6747.025,6770.594
52,6751.5537,6703.4146
53,6702.226,6703.687
54,6840.8184,6833.5405
55,6765.956,6733.982
56,6813.9155,6796.5103
57,6797.7007,6771.9976
58,6849.816,6876.222
59,6750.0127,6803.2036
60,6817.834,6816.528
61,6798.6694,6886.6274
62,6904.5776,6864.9297
63,6763.5615,6795.25
64,6865.308,6829.7144
65,6638.568,6624.7896
66,6729.102,6741.9395
67,6701.55,6683.104
68,6733.7637,6686.2676
69,6734.3794,6715.2163
70,6628.9346,6664.467
71,6920.644,6894.2163
72,6677.315,6718.3604
73,6852.595,6832.2563
74,6837.8364,6820.073
75,6891.0474,6898.888
76,6733.515,6728.2744
77,6755.71,6747.9126
78,6749.8896,6759.3647
79,6725.038,6704.8726
80,6875.211,6855.2734
81,6790.7046,6763.2046
82,6736.817,6748.517
83,6823.6445,6805.3574
84,6892.849,6844.6147
85,6816.308,6748.9453
86,6831.3237,6815.5586
87,6830.6543,6847.133
88,6784.8535,6802.3545
89,6789.9277,6796.4463
90,6786.0737,6801.5938
91,6744.0317,6711.3154
92,6713.285,6700.272
93,6787.745,6809.2554
94,6860.9985,6894.9526
95,6797.46,6781.826
96,6761.9473,6727.822
97,6747.5786,6723.029
98,6720.7065,6716.89
99,6712.7266,6710.9644
100,6835.974,6819.406
101,6806.2305,6859.663
102,6731.3613,6735.2266
103,6676.4907,6716.6245
104,6794.084,6790.6167
105,6713.6973,6670.686
106,6757.2207,6790.9277
107,6744.418,6736.5894
108,6914.896,6868.4243
109,6951.0396,6913.8823
110,6678.8086,6700.3896
111,6703.001,6711.225
112,6966.831,6915.7
113,6888.177,6859.307
114,6697.211,6733.6567
115,6890.1665,6874.0356
116,6731.3037,6758.1416
117,6777.8267,6787.1025
118,6771.7476,6763.3716
119,6762.7812,6766.542
120,6716.716,6701.7803
121,6753.34,6752.209
122,6926.847,6915.281
123,6707.0728,6728.4805
124,6960.1196,6954.1826
125,6905.161,6881.5347
126,6710.0093,6704.1826
127,6731.956,6757.2256
128,6835.2427,6838.2305
129,6914.8213,6907.77
130,6800.89,6824.5347
131,6717.957,6716.901
132,6781.935,6776.963
133,6830.691,6817.365
134,6806.1025,6773.63
135,6765.162,6793.3926
136,6780.805,6759.5283
137,6632.485,6698.623
138,6699.101,6757.2637
139,6739.314,6709.623
140,6895.208,6873.722
141,6839.951,6847.8115
142,6737.8506,6711.8467
143,6699.992,6729.4106
144,6709.704,6746.8213
145,6782.671,6750.6294
146,6827.342,6786.256
147,6718.5454,6731.0537
148,6748.6553,6785.7583
149,6745.3066,6748.724
150,6957.4966,6914.4155
151,6724.4517,6762.7583
152,6799.7603,6847.7446
153,6910.306,6908.073
154,6753.433,6744.688
155,6795.279,6817.1997
156,6622.7964,6656.981
157,6898.221,6923.591
158,6893.576,6867.2007
159,6754.6357,6783.092
160,6842.924,6782.2905
161,6750.8696,6741.3706
162,6737.3726,6728.4785
163,6823.146,6834.5317
164,6687.086,6713.2036
165,6721.3765,6740.099
166,6811.363,6818.691
167,6799.9155,6802.3794
168,6719.1416,6695.6934
169,6711.8286,6699.5405
170,6719.647,6710.733
171,6667.126,6715.726
172,6713.0474,6723.092
173,6865.4043,6879.166
174,6856.651,6826.33
175,6738.1934,6742.7524
176,6817.4297,6822.0977
177,6704.2183,6668.7393
178,6808.3643,6859.3794
179,6832.209,6867.131
180,6834.4297,6815.8804
181,6696.474,6718.006
182,6814.2183,6823.384
183,6766.7456,6762.776
184,6706.2124,6668.902
185,6730.8315,6756.5254
186,6698.423,6729.2026
187,6694.8276,6684.406
188,6846.424,6866.343
189,6766.2886,6755.0776
190,6752.3315,6767.82
191,6840.264,6887.495
192,6863.3506,6899.2275
193,6726.984,6750.393
194,6721.055,6768.613
195,6823.894,6851.259
196,6922.483,6895.898
197,6901.1035,6869.424
198,6853.1113,6842.011
199,6688.24,6704.392
200,6713.897,6729.829
201,6790.755,6764.6895
202,6760.417,6754.6562
203,6743.764,6728.5986
204,6710.7886,6657.026
205,6674.4854,6685.5605
206,6737.247,6724.874
207,6874.882,6873.1157
208,6958.641,6941.832
209,6765.9766,6769.934
210,6802.7256,6840.8804
211,6783.664,6759.1523
212,6815.637,6779.86
213,6797.3228,6790.4536
214,6681.294,6705.5273
215,6828.304,6819.588
216,6857.0894,6811.3003
217,6845.447,6821.1875
218,6804.8975,6765.4663
219,6797.1816,6775.765
220,6768.079,6740.436
221,6816.4175,6799.9116
222,6877.825,6843.512
223,6743.4146,6732.3413
224,6727.2734,6693.62
225,6932.9463,6953.6904
226,6787.6685,6793.162
227,6899.223,6918.1924
228,6740.38,6730.5854
229,6751.0166,6768.784
230,6840.741,6812.472
231,6892.099,6867.358
232,6824.7246,6816.555
233,6731.145,6733.0312
234,6927.982,6903.083
235,6798.217,6811.9775
236,6772.0776,6750.223
237,6661.3745,6659.571
238,6752.2676,6761.9277
239,6790.0806,6769.9507
240,6833.229,6848.1025
241,6747.5366,6740.4097
242,6692.248,6729.412
243,6979.659,6932.841
244,6732.5605,6748.0806
245,6850.175,6851.366
246,6737.68,6738.0015
247,6730.1484,6705.928
248,6815.118,6831.944
249,6685.5396,6683.956
250,6837.562,6861.7334
251,6988.946,6951.836
252,6793.4863,6753.482
253,6840.941,6822.1714
254,6959.4927,6895.5806
255,6775.64,6816.5557
256,6722.355,6734.658
257,6759.4946,6741.077
258,6888.496,6945.544
259,6707.868,6715.108
260,6826.283,6809.562
261,6886.248,6911.8184
262,6738.742,6745.181
263,6747.9473,6744.85
264,6744.254,6750.0283
265,6743.8867,6743.789
266,6664.7305,6685.6895
267,6683.198,6661.726
268,6735.142,6753.049
269,6842.828,6833.4126
270,6862.497,6869.78
271,6763.9644,6747.8647
272,6769.2627,6747.141
273,6792.1797,6800.678
274,6796.3936,6867.8066
275,6807.2627,6780.721
276,6831.269,6805.3
277,6925.473,6942.2495
278,6739.036,6762.076
279,6736.606,6751.3486
280,6720.693,6739.68
281,6796.5366,6749.4897
282,6642.6953,6687.9067
283,6826.896,6820.652
284,6714.9033,6708.401
285,6737.3574,6712.3545
286,6971.0156,6960.3325
287,6772.633,6787.6714
288,6777.974,6818.8286
289,6742.2705,6764.8696
290,6786.0254,6754.7637
291,6851.4814,6922.415
292,6840.13,6824.8325
293,6695.777,6718.6953
294,6799.706,6763.2764
295,6807.3906,6863.7427
296,6781.1895,6765.8647
297,6805.4556,6798.3657
298,6761.067,6760.628
299,6714.6553,6741.23
300,6785.592,6745.8037
301,6830.018,6814.463
302,6713.672,6704.34
303,6846.494,6880.993
304,6875.643,6892.38
305,6794.7607,6833.011
306,6823.9546,6804.5747
307,6853.3506,6832.074
308,6802.057,6791.604
309,6842.0703,6825.42
310,6902.1387,6919.0005
311,6774.6216,6799.866
312,6844.8516,6914.7007
313,6739.0176,6724.0024
314,6664.981,6626.159
315,6829.5503,6828.8384
316,6665.1274,6662.179
317,6777.603,6769.3057
318,6775.726,6804.4663
