Time,Actual,Predicted
20,6718.031,6720.7856
21,6740.104,6729.887
22,6704.5615,6718.2344
23,6917.5337,6911.119
24,6790.9365,6788.6914
25,6853.572,6812.903
26,6809.6323,6819.763
27,6859.9385,6853.4355
28,6756.3345,6745.105
29,6606.5947,6612.886
30,6855.3306,6882.615
31,6834.2656,6843.259
32,6736.8276,6737.369
33,6664.716,6642.655
34,6759.655,6779.8223
35,6793.372,6787.4126
36,6902.551,6876.2705
37,6750.487,6733.1104
38,6700.2896,6706.8784
39,6780.347,6779.194
40,6879.308,6890.872
41,6737.218,6717.0786
42,6735.148,6743.182
43,6770.948,6800.022
44,6749.0396,6754.132
45,6691.715,6714.264
46,6811.216,6819.0684
47,6876.484,6847.048
48,6958.522,6933.93
49,6860.098,6842.4585
50,6802.7456,6780.2954
51,6747.025,6779.911
52,6751.5537,6721.0205
53,6702.226,6669.6006
54,6840.8184,6827.24
55,6765.956,6741.757
56,6813.9155,6824.1133
57,6797.7007,6768.9795
58,6849.816,6906.1626
59,6750.0127,6795.776
60,6817.834,6817.47
61,6798.6694,6863.1387
62,6904.5776,6864.373
63,6763.5615,6793.9644
64,6865.308,6819.7344
65,6638.568,6660.4736
66,6729.102,6753.089
67,6701.55,6682.197
68,6733.7637,6701.3394
69,6734.3794,6722.727
70,6628.9346,6675.066
71,6920.644,6895.466
72,6677.315,6710.0947
73,6852.595,6832.6436
74,6837.8364,6818.87
75,6891.0474,6915.985
76,6733.515,6726.7095
77,6755.71,6743.8716
78,6749.8896,6747.969
79,6725.038,6714.857
80,6875.211,6854.8657
81,6790.7046,6762.296
82,6736.817,6753.039
83,6823.6445,6800.1313
84,6892.849,6866.2495
85,6816.308,6759.189
86,6831.3237,6813.3755
87,6830.6543,6850.4043
88,6784.8535,6795.01
89,6789.9277,6806.0303
90,6786.0737,6798.8105
91,6744.0317,6712.169
92,6713.285,6708.7437
93,6787.745,6823.5693
94,6860.9985,6876.761
95,6797.46,6765.0166
96,6761.9473,6731.0674
97,6747.5786,6706.8833
98,6720.7065,6709.817
99,6712.7266,6698.961
100,6835.974,6841.111
101,6806.2305,6860.0503
102,6731.3613,6731.8086
103,6676.4907,6729.661
104,6794.084,6788.325
105,6713.6973,6686.4253
106,6757.2207,6797.636
107,6744.418,6731.815
108,6914.896,6881.2954
109,6951.0396,6937.168
110,6678.8086,6724.5537
111,6703.001,6712.5835
112,6966.831,6942.211
