Time,Actual,Predicted
20,6718.031,6731.773
21,6740.104,6720.9585
22,6704.5615,6693.4463
23,6917.5337,6914.2764
24,6790.9365,6773.3643
25,6853.572,6834.1553
26,6809.6323,6816.3135
27,6859.9385,6861.6772
28,6756.3345,6737.8066
29,6606.5947,6623.3867
30,6855.3306,6881.639
31,6834.2656,6827.3496
32,6736.8276,6750.512
33,6664.716,6654.1616
34,6759.655,6761.8174
35,6793.372,6794.0835
36,6902.551,6865.4536
37,6750.487,6736.119
38,6700.2896,6718.4663
39,6780.347,6796.707
40,6879.308,6888.5273
41,6737.218,6712.3115
42,6735.148,6753.8193
43,6770.948,6793.491
44,6749.0396,6747.895
45,6691.715,6714.671
46,6811.216,6819.735
47,6876.484,6833.9575
48,6958.522,6935.8105
49,6860.098,6846.2266
50,6802.7456,6786.8667
51,6747.025,6774.9546
52,6751.5537,6730.5737
53,6702.226,6686.8706
54,6840.8184,6848.899
55,6765.956,6713.3057
56,6813.9155,6818.6724
57,6797.7007,6775.883
58,6849.816,6885.765
59,6750.0127,6800.8735
60,6817.834,6818.584
61,6798.6694,6851.4385
62,6904.5776,6867.0464
63,6763.5615,6783.409
64,6865.308,6819.226
65,6638.568,6602.5654
66,6729.102,6753.264
67,6701.55,6684.5386
68,6733.7637,6709.5244
69,6734.3794,6733.772
70,6628.9346,6691.7646
71,6920.644,6907.3813
72,6677.315,6710.5903
73,6852.595,6827.8027
74,6837.8364,6813.55
75,6891.0474,6923.048
76,6733.515,6697.963
77,6755.71,6743.462
78,6749.8896,6734.351
79,6725.038,6711.2715
80,6875.211,6844.8125
81,6790.7046,6762.796
82,6736.817,6758.296
83,6823.6445,6805.281
84,6892.849,6852.6016
85,6816.308,6766.11
86,6831.3237,6811.474
87,6830.6543,6863.27
88,6784.8535,6802.9766
89,6789.9277,6811.765
90,6786.0737,6799.043
91,6744.0317,6716.0317
92,6713.285,6704.433
93,6787.745,6835.6846
94,6860.9985,6874.9946
95,6797.46,6768.558
96,6761.9473,6731.6284
97,6747.5786,6718.132
98,6720.7065,6703.255
99,6712.7266,6705.1484
100,6835.974,6830.716
101,6806.2305,6854.201
102,6731.3613,6756.519
103,6676.4907,6715.681
104,6794.084,6788.481
105,6713.6973,6676.0127
