Time,Actual,Predicted
20,6795.90547761149,6752.668
21,6778.806005726254,6776.714
22,6736.883785988363,6759.057
23,6744.41798599611,6718.5186
24,6766.733930752397,6724.991
25,6767.200099540833,6746.3647
26,6798.491305657083,6746.5107
27,6827.341751394739,6777.1836
28,6842.070353905421,6807.2095
29,6810.700339130636,6821.5327
30,6777.717951529839,6788.3813
31,6790.754795752732,6755.27
32,6742.1996883829,6767.339
33,6703.844464156654,6719.637
34,6687.555913989155,6681.3286
35,6702.225831567588,6663.0054
36,6715.855435983868,6680.6562
37,6733.555828894098,6695.0083
38,6739.464657639614,6711.9224
39,6762.047732999987,6717.753
40,6742.273708235354,6739.487
41,6698.977324058978,6720.4937
42,6653.42243640472,6679.0625
43,6637.275962402231,6629.367
44,6663.2329743005785,6615.682
45,6696.027351561643,6642.138
46,6717.956985658324,6679.9756
47,6767.245489376875,6700.6255
48,6828.626051611756,6746.7305
49,6876.366383201046,6811.225
50,6883.369108490728,6856.1304
51,6799.7602494644325,6861.1826
52,6725.4364839873,6779.2075
53,6685.026400005403,6707.2646
54,6667.126216025533,6667.8745
55,6672.523363055238,6647.305
56,6684.491771230659,6653.802
57,6696.269593617576,6668.2715
58,6727.273513611083,6681.452
59,6740.380001208747,6709.762
60,6744.25398925969,6721.8525
61,6702.8482232830165,6725.343
62,6641.885541037474,6687.8076
63,6602.254936680984,6623.1763
64,6606.594933579861,6595.1953
65,6626.533030571187,6598.3403
66,6654.546014026709,6612.4014
67,6674.888752742246,6638.067
68,6698.939773736125,6661.417
69,6713.218209881052,6687.5576
70,6711.828474731372,6700.357
71,6705.499417605957,6699.675
72,6691.857642082777,6694.757
73,6695.787482340637,6683.3906
74,6703.762628476236,6686.584
75,6685.023760290424,6693.0195
76,6681.293802213521,6676.361
77,6691.174019966689,6672.554
78,6695.869495207366,6682.0464
79,6708.391031150803,6686.2944
80,6737.184203775792,6697.0723
81,6763.046452816705,6721.583
82,6795.6761216638815,6744.801
83,6772.309336135013,6778.244
84,6759.183551656774,6752.5596
85,6721.376599049826,6738.5537
86,6697.210871086562,6703.786
87,6655.12421978076,6682.023
88,6661.8341508927415,6636.6274
89,6697.356888589501,6644.0
90,6733.763459507323,6682.734
91,6765.956327740392,6714.744
92,6802.257818876108,6744.486
93,6830.030992090365,6781.9287
94,6840.940787338507,6812.3936
95,6842.828377838589,6823.5464
96,6836.401610028143,6824.658
97,6811.75044597825,6816.725
98,6744.630699170201,6788.856
99,6737.372464550977,6721.373
100,6712.253904138371,6714.467
101,6693.605557777652,6690.4116
102,6715.684295583555,6670.875
103,6734.269644233289,6694.63
104,6763.831109470508,6712.33
105,6777.954240759166,6740.3486
106,6781.935212332512,6754.2173
107,6751.016888530549,6757.787
108,6722.354897927543,6726.7104
109,6688.950994047365,6699.117
110,6649.903712934949,6662.191
111,6642.695324173138,6620.7427
112,6654.872681976254,6615.912
113,6665.127295520465,6628.6763
114,6674.304644884851,6641.047
115,6690.346236081055,6653.034
116,6701.267665807655,6673.15
117,6700.289470212126,6684.8823
118,6730.544825946143,6684.589
119,6734.379491409964,6711.2925
120,6724.8564661525215,6714.732
121,6730.279615702275,6706.105
122,6677.682621140381,6710.6577
123,6671.091609506131,6660.9272
124,6700.53495143668,6654.369
125,6735.803900155983,6685.4736
126,6760.12431143378,6716.498
127,6775.116339499245,6738.6523
128,6760.151994876928,6753.7886
129,6750.869648333459,6738.468
130,6766.288419915036,6729.353
131,6834.690348964751,6743.7744
132,6816.726158876249,6818.019
133,6773.159278366341,6796.6807
134,6766.40212724381,6749.217
135,6782.670773837709,6741.9585
136,6805.565960620749,6758.0513
137,6821.17338263657,6781.2134
138,6827.845823141104,6797.9775
139,6835.585447323553,6804.7754
140,6817.294614252334,6812.867
