Time,Actual,Predicted
20,6718.031,6731.6035
21,6740.104,6746.106
22,6704.5615,6717.2305
23,6917.5337,6906.131
24,6790.9365,6796.3545
25,6853.572,6812.533
26,6809.6323,6822.3555
27,6859.9385,6829.0664
28,6756.3345,6744.4785
29,6606.5947,6649.2275
30,6855.3306,6908.528
31,6834.2656,6825.074
32,6736.8276,6751.8804
33,6664.716,6637.548
34,6759.655,6778.3564
35,6793.372,6784.2476
36,6902.551,6891.6504
37,6750.487,6736.159
38,6700.2896,6691.7153
39,6780.347,6775.2534
40,6879.308,6870.171
41,6737.218,6730.233
42,6735.148,6739.649
43,6770.948,6799.2773
44,6749.0396,6748.5664
45,6691.715,6703.7847
46,6811.216,6833.9624
47,6876.484,6825.7705
48,6958.522,6945.6016
49,6860.098,6844.7627
50,6802.7456,6779.7773
51,6747.025,6761.9814
52,6751.5537,6726.5327
53,6702.226,6685.308
54,6840.8184,6834.767
55,6765.956,6727.314
56,6813.9155,6819.558
57,6797.7007,6774.1895
58,6849.816,6891.3975
59,6750.0127,6791.466
60,6817.834,6822.978
61,6798.6694,6886.12
62,6904.5776,6874.447
63,6763.5615,6797.195
64,6865.308,6825.7095
65,6638.568,6605.655
66,6729.102,6742.9946
67,6701.55,6692.189
68,6733.7637,6698.5605
69,6734.3794,6730.242
70,6628.9346,6675.7876
71,6920.644,6915.0615
72,6677.315,6695.0723
73,6852.595,6841.468
74,6837.8364,6825.2866
75,6891.0474,6877.866
76,6733.515,6703.5576
77,6755.71,6716.282
78,6749.8896,6746.454
79,6725.038,6720.0776
80,6875.211,6853.851
81,6790.7046,6775.7974
82,6736.817,6752.82
83,6823.6445,6806.4746
84,6892.849,6861.1084
85,6816.308,6774.5854
86,6831.3237,6811.565
87,6830.6543,6856.0464
88,6784.8535,6796.1255
89,6789.9277,6810.621
90,6786.0737,6797.1553
91,6744.0317,6724.999
92,6713.285,6713.962
93,6787.745,6824.235
94,6860.9985,6869.64
95,6797.46,6775.829
96,6761.9473,6733.7856
97,6747.5786,6709.9053
98,6720.7065,6722.675
99,6712.7266,6706.5757
100,6835.974,6823.8447
101,6806.2305,6867.429
102,6731.3613,6745.1157
103,6676.4907,6731.236
104,6794.084,6788.493
105,6713.6973,6680.256
106,6757.2207,6795.472
107,6744.418,6726.656
108,6914.896,6883.9795
109,6951.0396,6945.0723
110,6678.8086,6732.087
111,6703.001,6696.573
112,6966.831,6946.7183
113,6888.177,6850.3022
114,6697.211,6716.8696
115,6890.1665,6863.414
116,6731.3037,6765.7407
117,6777.8267,6774.9624
118,6771.7476,6771.24
119,6762.7812,6756.9146
120,6716.716,6711.656
121,6753.34,6743.1577
122,6926.847,6914.3984
123,6707.0728,6730.8457
124,6960.1196,6939.7324
125,6905.161,6863.741
126,6710.0093,6698.4263
127,6731.956,6746.6504
128,6835.2427,6831.7104
129,6914.8213,6934.1255
130,6800.89,6811.896
131,6717.957,6702.0825
132,6781.935,6771.37
133,6830.691,6820.953
134,6806.1025,6786.4834
135,6765.162,6791.724
136,6780.805,6758.055
137,6632.485,6682.848
138,6699.101,6757.6987
139,6739.314,6701.455
140,6895.208,6882.14
141,6839.951,6878.4614
142,6737.8506,6718.902
143,6699.992,6722.592
144,6709.704,6770.6343
145,6782.671,6763.106
146,6827.342,6778.946
147,6718.5454,6726.8516
148,6748.6553,6792.9
149,6745.3066,6767.735
150,6957.4966,6924.073
151,6724.4517,6763.9067
152,6799.7603,6850.6724
153,6910.306,6908.3613
154,6753.433,6752.4907
155,6795.279,6824.3105
156,6622.7964,6648.011
157,6898.221,6935.5225
158,6893.576,6853.33
159,6754.6357,6768.1416
160,6842.924,6788.0576
161,6750.8696,6749.3037
162,6737.3726,6741.4805
163,6823.146,6839.086
164,6687.086,6712.992
165,6721.3765,6758.422
166,6811.363,6830.2134
167,6799.9155,6797.9155
168,6719.1416,6692.972
169,6711.8286,6717.3096
170,6719.647,6713.9688
171,6667.126,6692.568
172,6713.0474,6699.9663
173,6865.4043,6874.5127
174,6856.651,6831.8687
175,6738.1934,6750.7124
176,6817.4297,6825.816
177,6704.2183,6687.4976
178,6808.3643,6862.256
179,6832.209,6868.426
180,6834.4297,6809.6533
181,6696.474,6732.2627
182,6814.2183,6828.9346
183,6766.7456,6772.5815
184,6706.2124,6686.129
185,6730.8315,6759.7744
186,6698.423,6708.709
187,6694.8276,6676.1636
188,6846.424,6878.8228
189,6766.2886,6738.3926
190,6752.3315,6764.533
191,6840.264,6866.699
192,6863.3506,6906.208
193,6726.984,6764.3174
194,6721.055,6772.019
195,6823.894,6866.2646
196,6922.483,6900.07
197,6901.1035,6865.538
