Time,Actual,Predicted
20,6718.031,6716.476
21,6740.104,6738.2104
22,6704.5615,6717.4316
23,6917.5337,6915.1206
24,6790.9365,6780.2876
25,6853.572,6838.7607
26,6809.6323,6819.147
27,6859.9385,6832.5327
28,6756.3345,6759.406
29,6606.5947,6638.874
30,6855.3306,6877.7026
31,6834.2656,6832.7773
32,6736.8276,6741.7217
33,6664.716,6648.388
34,6759.655,6760.2954
35,6793.372,6797.791
36,6902.551,6891.309
37,6750.487,6733.2793
38,6700.2896,6700.9614
39,6780.347,6781.3613
40,6879.308,6861.9014
41,6737.218,6744.55
42,6735.148,6744.1074
43,6770.948,6810.0034
44,6749.0396,6757.3726
45,6691.715,6698.1763
46,6811.216,6829.7114
47,6876.484,6869.0225
48,6958.522,6964.7305
49,6860.098,6825.079
50,6802.7456,6777.1484
51,6747.025,6763.6187
52,6751.5537,6716.6685
53,6702.226,6705.5015
54,6840.8184,6842.7876
55,6765.956,6732.5825
56,6813.9155,6817.883
57,6797.7007,6767.303
58,6849.816,6916.4478
59,6750.0127,6810.9043
60,6817.834,6808.8716
61,6798.6694,6850.988
62,6904.5776,6870.2446
63,6763.5615,6792.908
64,6865.308,6827.1167
65,6638.568,6626.874
66,6729.102,6754.9834
67,6701.55,6695.036
68,6733.7637,6709.468
69,6734.3794,6742.1294
70,6628.9346,6661.67
71,6920.644,6921.959
72,6677.315,6700.6543
73,6852.595,6852.751
74,6837.8364,6831.331
75,6891.0474,6903.9087
76,6733.515,6725.579
77,6755.71,6741.0596
78,6749.8896,6761.975
79,6725.038,6721.039
80,6875.211,6835.7407
81,6790.7046,6764.7544
82,6736.817,6762.6733
83,6823.6445,6813.5854
84,6892.849,6862.494
85,6816.308,6776.412
86,6831.3237,6821.522
87,6830.6543,6865.851
88,6784.8535,6799.229
89,6789.9277,6814.8535
90,6786.0737,6795.961
91,6744.0317,6708.209
92,6713.285,6711.7607
93,6787.745,6821.5654
94,6860.9985,6903.7056
95,6797.46,6768.876
96,6761.9473,6740.334
97,6747.5786,6694.7715
98,6720.7065,6705.8296
99,6712.7266,6690.0894
100,6835.974,6819.4004
101,6806.2305,6860.475
102,6731.3613,6733.098
103,6676.4907,6721.1797
104,6794.084,6799.086
105,6713.6973,6691.0317
106,6757.2207,6806.699
107,6744.418,6733.7803
108,6914.896,6888.5527
109,6951.0396,6930.994
110,6678.8086,6722.3315
111,6703.001,6694.575
112,6966.831,6955.637
113,6888.177,6865.451
114,6697.211,6717.259
115,6890.1665,6874.1055
116,6731.3037,6731.615
117,6777.8267,6766.5254
118,6771.7476,6774.303
119,6762.7812,6772.318
120,6716.716,6709.8184
121,6753.34,6766.558
122,6926.847,6890.642
123,6707.0728,6738.1147
124,6960.1196,6957.006
125,6905.161,6881.76
126,6710.0093,6712.11
127,6731.956,6756.938
128,6835.2427,6847.6816
129,6914.8213,6920.7163
130,6800.89,6827.2275
131,6717.957,6711.5996
132,6781.935,6768.5522
133,6830.691,6815.3926
134,6806.1025,6779.273
135,6765.162,6790.6465
136,6780.805,6761.1187
137,6632.485,6683.559
138,6699.101,6761.312
139,6739.314,6706.5327
140,6895.208,6888.551
141,6839.951,6874.2036
142,6737.8506,6711.6104
143,6699.992,6740.743
144,6709.704,6758.587
145,6782.671,6748.94
146,6827.342,6796.325
147,6718.5454,6749.0723
148,6748.6553,6808.287
149,6745.3066,6746.813
150,6957.4966,6916.03
151,6724.4517,6775.305
152,6799.7603,6852.368
153,6910.306,6876.189
154,6753.433,6743.946
155,6795.279,6809.6035
156,6622.7964,6643.5786
157,6898.221,6930.9854
158,6893.576,6879.4126
159,6754.6357,6781.5547
160,6842.924,6793.491
161,6750.8696,6754.409
162,6737.3726,6736.4883
163,6823.146,6831.462
164,6687.086,6733.18
165,6721.3765,6752.5464
166,6811.363,6834.78
167,6799.9155,6814.4907
168,6719.1416,6681.0146
169,6711.8286,6707.113
170,6719.647,6722.5703
171,6667.126,6681.644
172,6713.0474,6704.5244
173,6865.4043,6868.981
174,6856.651,6830.95
175,6738.1934,6741.3457
176,6817.4297,6835.5303
177,6704.2183,6690.5376
178,6808.3643,6841.8687
179,6832.209,6876.066
180,6834.4297,6828.736
181,6696.474,6719.5938
182,6814.2183,6833.7134
183,6766.7456,6788.1646
184,6706.2124,6682.3604
185,6730.8315,6727.1797
186,6698.423,6715.4194
187,6694.8276,6663.977
188,6846.424,6844.8335
189,6766.2886,6748.461
190,6752.3315,6763.26
191,6840.264,6870.881
192,6863.3506,6885.389
193,6726.984,6757.4863
194,6721.055,6757.7915
195,6823.894,6864.558
196,6922.483,6922.2427
197,6901.1035,6882.261
198,6853.1113,6837.8193
199,6688.24,6673.857
200,6713.897,6704.8003
201,6790.755,6767.7754
202,6760.417,6726.7217
203,6743.764,6728.834
204,6710.7886,6685.3667
205,6674.4854,6683.531
206,6737.247,6723.5894
207,6874.882,6879.3804
208,6958.641,6969.284
209,6765.9766,6744.564
210,6802.7256,6840.0405
211,6783.664,6775.8438
212,6815.637,6784.5537
213,6797.3228,6795.7803
214,6681.294,6708.021
215,6828.304,6813.952
216,6857.0894,6824.8853
217,6845.447,6816.259
218,6804.8975,6770.144
219,6797.1816,6777.6772
220,6768.079,6742.1875
221,6816.4175,6815.721
222,6877.825,6848.3315
223,6743.4146,6727.3867
224,6727.2734,6710.873
225,6932.9463,6930.831
226,6787.6685,6798.2686
227,6899.223,6906.615
228,6740.38,6717.9165
229,6751.0166,6753.6396
230,6840.741,6823.757
231,6892.099,6865.8213
232,6824.7246,6805.4985
233,6731.145,6742.5195
234,6927.982,6921.877
235,6798.217,6804.825
236,6772.0776,6755.999
237,6661.3745,6650.8667
238,6752.2676,6766.3945
239,6790.0806,6790.2656
240,6833.229,6837.006
241,6747.5366,6757.7686
242,6692.248,6731.7
243,6979.659,6943.8164
244,6732.5605,6737.9375
245,6850.175,6838.391
246,6737.68,6728.5806
247,6730.1484,6744.237
248,6815.118,6851.525
249,6685.5396,6692.023
250,6837.562,6864.0625
251,6988.946,6944.58
252,6793.4863,6761.426
253,6840.941,6828.0967
254,6959.4927,6912.7397
255,6775.64,6818.536
256,6722.355,6747.084
257,6759.4946,6726.142
258,6888.496,6931.705
259,6707.868,6696.8447
260,6826.283,6812.2495
261,6886.248,6940.007
262,6738.742,6748.112
263,6747.9473,6753.4707
264,6744.254,6736.714
265,6743.8867,6764.347
266,6664.7305,6681.604
267,6683.198,6694.1333
268,6735.142,6742.5815
269,6842.828,6814.302
270,6862.497,6873.114
271,6763.9644,6743.6787
272,6769.2627,6730.504
273,6792.1797,6789.703
274,6796.3936,6868.1655
275,6807.2627,6785.5146
276,6831.269,6826.764
277,6925.473,6915.6836
278,6739.036,6777.3604
279,6736.606,6750.63
280,6720.693,6742.988
281,6796.5366,6758.6665
282,6642.6953,6636.4844
283,6826.896,6823.4863
284,6714.9033,6717.0537
285,6737.3574,6724.243
286,6971.0156,6972.55
287,6772.633,6783.815
288,6777.974,6826.272
289,6742.2705,6759.8833
290,6786.0254,6765.596
291,6851.4814,6923.882
292,6840.13,6825.8975
293,6695.777,6731.868
294,6799.706,6784.4644
295,6807.3906,6848.8765
296,6781.1895,6778.18
297,6805.4556,6799.0493
298,6761.067,6763.9487
299,6714.6553,6765.884
300,6785.592,6740.8076
301,6830.018,6822.3906
302,6713.672,6694.785
303,6846.494,6862.157
304,6875.643,6848.6743
305,6794.7607,6852.46
306,6823.9546,6810.9375
307,6853.3506,6826.107
308,6802.057,6787.959
309,6842.0703,6844.4214
310,6902.1387,6937.0083
311,6774.6216,6810.3506
312,6844.8516,6911.148
313,6739.0176,6729.3604
314,6664.981,6681.5215
315,6829.5503,6831.317
316,6665.1274,6652.3374
317,6777.603,6766.983
318,6775.726,6803.1025
319,6766.907,6761.117
320,6672.4116,6711.6396
321,6810.666,6822.015
322,6795.335,6793.417
323,6879.8774,6900.465
324,6752.74,6747.701
325,6739.092,6728.362
326,6720.214,6725.2163
327,6887.3354,6865.0117
328,6923.5527,6885.194
329,6670.3994,6687.518
330,6912.2324,6910.1245
331,6685.027,6722.035
332,6678.3945,6687.965
333,6781.647,6812.721
334,6737.184,6722.4595
335,6634.852,6657.24
336,6768.3853,6802.5366
337,6775.883,6838.331
338,6805.551,6806.5415
339,6892.5063,6902.2754
340,6828.7236,6817.399
341,6698.89,6676.1562
342,6867.4575,6838.6396
343,6729.1377,6739.7046
344,6755.0894,6751.2046
345,6759.1836,6762.309
346,6737.605,6743.572
347,6764.07,6786.011
348,6707.569,6714.9434
349,6737.163,6729.731
350,6688.5425,6789.6836
351,6815.359,6820.57
352,6702.5864,6694.1816
353,6794.2456,6840.5654
354,6770.2324,6805.0474
355,6762.0474,6738.5796
356,6788.349,6760.6426
357,6758.6465,6728.162
358,6772.869,6734.9443
359,6805.4897,6797.7866
360,6808.548,6810.4624
361,6808.25,6785.112
362,6682.9204,6692.019
363,6693.2314,6732.7446
364,6781.6865,6791.1455
365,6783.728,6797.2847
366,6858.175,6836.836
367,6851.8564,6835.9263
368,6814.643,6902.592
369,6793.5474,6838.52
370,6671.092,6683.5625
371,6798.194,6755.9497
372,6859.898,6862.763
373,6806.063,6838.4727
374,6776.6187,6768.0474
375,6723.302,6731.408
376,6810.049,6779.3745
377,6709.5547,6689.9775
378,6805.3657,6785.2773
379,6780.712,6838.051
380,6769.191,6768.8877
381,6807.827,6848.217
382,6819.1,6820.356
383,6662.2803,6663.987
384,6732.538,6736.5923
385,6615.103,6635.7646
386,6929.748,6932.216
387,6858.08,6862.68
388,6895.247,6897.4814
389,6795.3486,6798.1533
390,6871.904,6852.2593
391,6740.6753,6762.7666
392,6702.6006,6701.354
393,6626.7466,6658.413
394,6734.294,6727.6387
395,6775.721,6795.9346
396,6782.3247,6787.5474
397,6819.7476,6822.8936
398,6795.676,6768.3433
399,6910.0938,6917.0435
400,6715.293,6740.73
401,6777.4556,6750.742
402,6876.3667,6839.9766
403,6875.4697,6859.215
404,6791.8125,6777.2627
405,6747.337,6744.9727
406,6824.187,6822.9014
407,6840.9067,6863.3843
408,6802.2783,6841.9624
409,6790.2,6792.689
410,6717.839,6725.5576
411,6679.175,6688.186
412,6846.534,6840.4487
413,6843.949,6851.025
414,6782.2256,6787.3306
415,6629.8975,6631.2705
416,6734.197,6739.1333
417,6875.124,6862.7173
418,6775.825,6741.868
419,6847.148,6820.225
420,6715.3604,6692.6357
421,6733.1147,6723.089
422,6701.972,6694.9355
423,6742.1997,6797.455
424,6776.1123,6769.3257
425,6866.029,6887.0264
426,6687.556,6694.08
427,6754.485,6724.966
428,6866.8887,6840.173
429,6864.558,6854.196
430,6742.5615,6735.6763
431,6854.846,6873.7866
432,6654.8726,6642.971
433,6834.777,6856.3213
434,6673.216,6716.7144
435,6950.6943,6904.4277
436,6791.6875,6810.333
437,6844.03,6798.2466
438,6910.484,6869.534
439,6733.3633,6712.1226
440,6797.3184,6796.969
441,6718.061,6729.918
442,6875.4805,6873.653
443,6791.258,6773.924
444,6883.9697,6842.493
445,6678.404,6720.892
446,6828.626,6766.2046
447,6837.234,6846.11
448,6851.8457,6817.2485
449,6736.6294,6725.4634
450,6727.3555,6737.836
