time,value
1865.0417,6768.2132264821485
1865.125,6670.578106274566
1865.2083,6635.034775919947
1865.2917,6618.2544865353075
1865.375,6640.194629601408
1865.4583,6656.582758768038
1865.5417,6677.314422472681
1865.625,6683.913994604581
1865.7083,6682.606314713197
1865.7917,6687.901002839262
1865.875,6690.533567030052
1865.9583,6687.741218857111
1866.0417,6727.226827755585
1866.125,6718.797497062405
1866.2083,6644.292227767624
1866.2917,6629.521543885704
1866.375,6653.946438960923
1866.4583,6685.476248646488
1866.5417,6732.184651574486
1866.625,6759.087298842916
1866.7083,6768.77268317744
1866.7917,6764.872823703504
1866.875,6835.925273118382
1866.9583,6828.574699952654
1867.0417,6785.06463926917
1867.125,6779.078818311624
1867.2083,6725.872554220938
1867.2917,6740.4934979631025
1867.375,6715.924503441431
1867.4583,6732.952197710295
1867.5417,6760.46196612052
1867.625,6763.76997182594
1867.7083,6796.6167169660885
1867.7917,6826.31973096852
1867.875,6841.517644084147
1867.9583,6810.409673731328
1868.0417,6777.580331027758
1868.125,6790.718612459596
1868.2083,6742.251373563783
1868.2917,6704.00339975439
1868.375,6687.881700852892
1868.4583,6702.840639771229
1868.5417,6716.989818603775
1868.625,6735.635179412739
1868.7083,6743.268732501479
1868.7917,6769.003060278273
1868.875,6754.988535659419
1868.9583,6722.219711912847
1869.0417,6695.908280133593
1869.125,6714.9374534044355
1869.2083,6647.6931717019415
1869.2917,6633.958829387675
1869.375,6661.084048093788
1869.4583,6694.24078483507
1869.5417,6715.862815889504
1869.625,6764.058402902503
1869.7083,6823.15089100394
1869.7917,6866.549963231855
1869.875,6865.530271671715
1869.9583,6767.209431988467
1870.0417,6665.967129300895
1870.125,6576.337500101158
1870.2083,6603.459433439357
1870.2917,6622.503654317315
1870.375,6648.111745564265
1870.4583,6671.136741397815
1870.5417,6688.963015255546
1870.625,6723.275419834107
1870.7083,6738.191106850458
1870.7917,6743.05345893573
1870.875,6702.185858121901
1870.9583,6641.512954103785
1871.0417,6602.032407874588
1871.125,6606.4390145983625
1871.2083,6626.385251796522
1871.2917,6654.350958418378
1871.375,6674.573274447124
1871.4583,6698.3855683935435
1871.5417,6712.217450487542
1871.625,6710.0058765143685
1871.7083,6702.171506234084
1871.7917,6685.77645079158
1871.875,6684.672564395919
1871.9583,6683.445889648728
1872.0417,6647.88642351981
1872.125,6613.409366210821
1872.2083,6642.0858212308885
1872.2917,6669.66945921254
1872.375,6684.004144398893
1872.4583,6701.715383734831
1872.5417,6733.194891971331
1872.625,6760.24748469708
1872.7083,6793.0178841842335
1872.7917,6768.794990240474
1872.875,6753.495217636892
1872.9583,6711.381151647145
1873.0417,6679.160017525077
1873.125,6622.248889974912
1873.2083,6601.80609616534
1873.2917,6632.665588417771
1873.375,6681.399676326866
1873.4583,6725.033642858536
1873.5417,6761.180225462157
1873.625,6799.644392614087
1873.7083,6828.600206996301
1873.7917,6840.156099002126
1873.875,6842.395528133749
1873.9583,6836.158280315529
1874.0417,6811.605387615632
1874.125,6744.529515271597
1874.2083,6737.277211154411
1874.2917,6712.128861220128
1874.375,6693.403834243393
1874.4583,6715.330245107932
1874.5417,6733.630497887943
1874.625,6762.667187375935
1874.7083,6775.829072129902
1874.7917,6778.051858932582
1874.875,6743.919092834981
1874.9583,6709.380986550497
1875.0417,6665.2357502224495
1875.125,6606.5539202278205
1875.2083,6604.704810318624
1875.2917,6617.745004278912
1875.375,6640.814574843793
1875.4583,6656.689610975096
1875.5417,6668.32325122206
1875.625,6684.578110677297
1875.7083,6693.549761636522
1875.7917,6687.727573209441
1875.875,6708.4282247359015
1875.9583,6694.414460538324
1876.0417,6652.056119042618
1876.125,6679.843822187894
1876.2083,6705.697958653631
1876.2917,6664.31382961448
1876.375,6663.922386680758
1876.4583,6696.87683875232
1876.5417,6734.285105356002
1876.625,6760.175286468185
1876.7083,6776.756200005936
1876.7917,6763.995688545913
1876.875,6758.358560290609
1876.9583,6780.230892144283
1877.0417,6860.3148085520625
1877.125,6886.141778166866
1877.2083,6844.896914594244
1877.2917,6788.613393994463
1877.375,6774.934896142606
1877.4583,6787.481984344226
1877.5417,6808.45981667493
1877.625,6823.235080258733
1877.7083,6829.848498939561
1877.7917,6838.280104722724
1877.875,6821.691749776908
1877.9583,6788.862800997434
1878.0417,6779.982402591996
1878.125,6761.720405158557
1878.2083,6790.978559659577
1878.2917,6743.728674032938
1878.375,6748.502041168652
1878.4583,6765.83867374261
1878.5417,6783.489808970046
1878.625,6778.07462256125
1878.7083,6777.562419612922
1878.7917,6744.261124019439
1878.875,6710.682749933247
1878.9583,6679.235407072022
1879.0417,6630.626341862806
1879.125,6621.627154852142
1879.2083,6615.11315091103
1879.2917,6634.8915785615545
1879.375,6662.1293481726625
1879.4583,6710.790623348519
1879.5417,6739.1233822800705
1879.625,6739.002409566649
1879.7083,6736.632340440719
1879.7917,6734.87439898006
1879.875,6718.069357136922
1879.9583,6687.41532422013
1880.0417,6661.417037885887
1880.125,6652.825140758851
1880.2083,6628.417671416385
1880.2917,6642.791828855064
1880.375,6663.837922114391
1880.4583,6699.448236166615
1880.5417,6721.72663878132
1880.625,6739.027530939019
1880.7083,6769.088747198851
1880.7917,6808.183243658252
1880.875,6833.471456489497
1880.9583,6828.186465504304
1881.0417,6726.596399083224
1881.125,6644.354982318354
1881.2083,6618.871683922866
1881.2917,6602.3402669984525
1881.375,6615.561450198459
1881.4583,6660.493177222888
1881.5417,6705.984845705901
1881.625,6742.845831328625
1881.7083,6726.024003699584
1881.7917,6742.211177457886
1881.875,6755.852542762896
1881.9583,6753.3136116039905
1882.0417,6746.392284796582
1882.125,6738.118064787893
1882.2083,6712.263119074662
