Time,Actual,Predicted
20,6795.90547761149,6769.44
21,6778.806005726254,6792.4575
22,6736.883785988363,6773.8037
23,6744.41798599611,6733.564
24,6766.733930752397,6740.769
25,6767.200099540833,6763.298
26,6798.491305657083,6763.6714
27,6827.341751394739,6791.4956
28,6842.070353905421,6828.11
29,6810.700339130636,6838.916
30,6777.717951529839,6796.983
31,6790.754795752732,6767.487
32,6742.1996883829,6778.367
33,6703.844464156654,6735.668
34,6687.555913989155,6695.033
35,6702.225831567588,6676.8857
36,6715.855435983868,6694.642
37,6733.555828894098,6708.3228
38,6739.464657639614,6725.6924
39,6762.047732999987,6731.3555
40,6742.273708235354,6753.7656
41,6698.977324058978,6733.951
42,6653.42243640472,6690.0054
43,6637.275962402231,6639.1226
44,6663.2329743005785,6623.95
45,6696.027351561643,6660.6074
46,6717.956985658324,6692.985
47,6767.245489376875,6710.878
48,6828.626051611756,6754.5703
49,6876.366383201046,6822.788
50,6883.369108490728,6855.877
51,6799.7602494644325,6852.809
52,6725.4364839873,6769.712
53,6685.026400005403,6711.646
54,6667.126216025533,6674.774
55,6672.523363055238,6657.2485
56,6684.491771230659,6664.363
57,6696.269593617576,6676.509
58,6727.273513611083,6688.445
59,6740.380001208747,6714.2847
60,6744.25398925969,6725.108
61,6702.8482232830165,6728.22
62,6641.885541037474,6694.0366
63,6602.254936680984,6624.378
64,6606.594933579861,6603.476
65,6626.533030571187,6606.334
66,6654.546014026709,6618.0874
67,6674.888752742246,6650.019
68,6698.939773736125,6674.6445
69,6713.218209881052,6693.846
70,6711.828474731372,6706.549
71,6705.499417605957,6713.263
72,6691.857642082777,6709.8706
73,6695.787482340637,6699.8374
74,6703.762628476236,6702.7246
75,6685.023760290424,6707.942
76,6681.293802213521,6691.5264
77,6691.174019966689,6687.9175
78,6695.869495207366,6697.349
79,6708.391031150803,6701.8813
80,6737.184203775792,6711.8037
81,6763.046452816705,6735.8403
82,6795.6761216638815,6758.9473
83,6772.309336135013,6784.6016
84,6759.183551656774,6761.181
85,6721.376599049826,6750.253
86,6697.210871086562,6715.193
87,6655.12421978076,6692.31
88,6661.8341508927415,6642.8013
89,6697.356888589501,6654.1167
90,6733.763459507323,6694.297
91,6765.956327740392,6726.167
92,6802.257818876108,6756.4966
93,6830.030992090365,6788.531
94,6840.940787338507,6824.5566
95,6842.828377838589,6831.0864
96,6836.401610028143,6828.453
97,6811.75044597825,6817.4824
98,6744.630699170201,6784.0796
99,6737.372464550977,6729.2305
100,6712.253904138371,6722.3286
101,6693.605557777652,6700.204
102,6715.684295583555,6681.6274
103,6734.269644233289,6703.729
104,6763.831109470508,6719.459
105,6777.954240759166,6746.057
106,6781.935212332512,6757.318
107,6751.016888530549,6760.3003
108,6722.354897927543,6734.8125
109,6688.950994047365,6706.982
110,6649.903712934949,6667.2446
111,6642.695324173138,6622.3306
112,6654.872681976254,6619.7495
113,6665.127295520465,6636.6934
114,6674.304644884851,6654.6675
115,6690.346236081055,6666.956
116,6701.267665807655,6684.288
117,6700.289470212126,6696.842
118,6730.544825946143,6696.8516
119,6734.379491409964,6721.636
120,6724.8564661525215,6724.981
121,6730.279615702275,6716.6714
122,6677.682621140381,6720.561
123,6671.091609506131,6672.946
124,6700.53495143668,6668.0474
125,6735.803900155983,6698.8022
126,6760.12431143378,6727.6396
127,6775.116339499245,6751.3047
128,6760.151994876928,6764.3203
129,6750.869648333459,6749.347
130,6766.288419915036,6739.6196
131,6834.690348964751,6753.305
132,6816.726158876249,6832.2734
133,6773.159278366341,6798.9307
134,6766.40212724381,6755.378
135,6782.670773837709,6749.81
136,6805.565960620749,6763.367
137,6821.17338263657,6783.197
138,6827.845823141104,6803.9014
139,6835.585447323553,6811.9746
140,6817.294614252334,6821.0684
141,6781.114261525741,6792.5015
142,6765.9767568713005,6760.1143
143,6736.205536043598,6748.4077
144,6744.386391232244,6717.755
145,6763.5871431329815,6727.086
146,6782.258073708587,6749.3613
147,6777.400781924914,6765.911
148,6777.193783363083,6761.9473
149,6744.059453562409,6761.7686
150,6710.572418847637,6726.397
151,6679.1750412007295,6684.692
152,6630.593304004096,6648.826
153,6621.609055808999,6608.642
154,6615.103203542277,6609.061
155,6634.886052603909,6609.7896
156,6662.126171392006,6623.295
157,6710.788604452106,6657.824
158,6739.121764181746,6701.0005
159,6739.00058547954,6721.8
160,6736.629626332162,6722.3457
161,6734.869777059344,6720.846
162,6718.061094183782,6719.4766
163,6687.400321627138,6707.2354
164,6661.389669680671,6681.761
165,6652.775143864455,6660.2944
166,6628.3262969974085,6649.962
167,6642.624811504391,6623.5103
168,6663.53263032552,6641.2104
169,6698.89018551872,6670.7363
170,6720.706560281438,6704.2295
171,6737.162895149698,6719.0967
172,6765.680315699093,6729.36
173,6801.952854635648,6751.3003
174,6822.08271406057,6782.6704
175,6807.368591258206,6808.016
176,6688.54269017767,6779.856
177,6643.045297913761,6678.8037
178,6615.564892367513,6627.0117
179,6622.796321459082,6610.6147
180,6664.451371097806,6617.0356
181,6708.150684898208,6667.854
182,6744.031505535437,6707.4443
183,6726.674140748454,6729.5894
184,6742.569578742141,6718.0596
185,6756.05360876413,6727.0825
186,6753.432742072669,6735.155
187,6746.474153658458,6732.472
188,6738.193372866169,6726.4785
189,6712.360106898694,6718.909
190,6672.411881018229,6697.5986
191,6678.3681105196,6662.9185
192,6706.212381465822,6669.704
193,6721.386295461726,6696.0645
194,6744.580070255778,6708.5425
195,6703.866371395747,6726.3965
196,6681.477561809121,6693.963
197,6680.267837900915,6672.09
198,6632.283553205552,6669.4253
199,6626.405600962273,6614.199
200,6630.429749079845,6610.387
201,6660.86505310236,6614.716
202,6742.2497520382585,6651.892
203,6779.478107988504,6725.536
204,6754.635754434439,6756.9824
205,6677.156808793289,6734.8325
206,6664.236666449623,6670.627
